"","title","author","subject","abstract","date"
"71","measurements of the hubble constant: tensions in perspective","wendy l. freedman","cosmology and nongalactic astrophysics","measurement of the distances to nearby galaxies have improved rapidly in recent decades. the ever-present challenge is to reduce systematic effects, especially as greater distances are probed, and the uncertainties become larger. in this paper, we combine several recent calibrations of the tip of the red giant branch (trgb) method. these calibrations are internally self-consistent at the 1% level. new gaia early data release 3 (edr3) data provide an additional consistency check, at a (lower) 5% level of accuracy, a result of the well-documented gaia angular covariance bias. the updated trgb calibration applied to a distant sample of type ia supernovae from the carnegie supernova project results in a value of the hubble constant of ho = 69.8 $\pm$ 0.6 (stat) $\pm$ 1.6 (sys) km/s/mpc. no statistically significant difference is found between the value of ho based on the trgb and that determined from measurements of the cosmic microwave background. the trgb results are also consistent to within 2$\sigma$ with the shoes and spitzer plus hst key project cepheid calibrations. the trgb results alone do not demand additional new physics beyond the standard lambda-cdm cosmological model. they have the advantage of simplicity of the underlying physics (the core he flash) and small systematic uncertainties (from extinction, metallicity and crowding). finally, the strengths and weaknesses of both the trgb and cepheids are reviewed, and prospects for addressing the current discrepancy with future gaia, hst and jwst observations are discussed. resolving this discrepancy is essential for ascertaining if the claimed tension in ho between the locally-measured and the cmb-inferred value is physically motivated.",2021-06-29
"72","cosmic expansion parametrization: implication for curvature and $\text{h}_{0}$ tension","bikash r. dinda","cosmology and nongalactic astrophysics","we propose an analytical parametrization of the comoving distance and hubble parameter to study the cosmic expansion history beyond the vanilla $\lambda$cdm model. the parametrization is generalized enough to include the contribution of spatial curvature and to capture the higher redshift behaviors. with this parameterization, we study the late time cosmic behavior and put constraints on the cosmological parameters like present values of hubble parameter ($h_{0}$), matter energy density parameter ($\omega_{m0}$), spatial curvature energy density parameter ($\omega_{k0}$) and baryonic matter energy density parameter ($\omega_{b0}$) using different combinations data like cmb (cosmic microwave background), bao (baryon acoustic oscillation), and sn (pantheon sample for type ia supernovae). we also rigorously study the hubble tension in the framework of late time modification from the standard $\lambda$cdm model. we find that the late time modification of the cosmic expansion can solve the hubble tension between cmb $\&$ shoes (local distance ladder observation for $h_{0}$), between cmb+bao $\&$ shoes and between cmb+sn $\&$ shoes, but the late time modification can not solve the hubble tension between cmb+bao+sn and shoes. that means cmb, bao, and sn data combined put strong enough constraints on $h_{0}$ (even with varying $\omega_{k0}$) and on other background cosmological parameters so that the addition of $h_{0}$ prior from shoes (or from similar other local distance observations) can not significantly pull the $h_{0}$ value towards the corresponding shoes value.",2021-06-05
"73","natural inflation after planck 2018","nina k. stein, william h. kinney (univ. at buffalo, suny)","cosmology and nongalactic astrophysics","we calculate high-precision constraints on natural inflation relative to current observational constraints from planck 2018 + bicep/keck(bk15) polarization + bao on $r$ and $n_s$, including post-inflationary history of the universe. we find that, for conventional post-inflationary dynamics, natural inflation with a cosine potential is disfavored at greater than 95\% confidence out by current data. if we assume protracted reheating characterized by $\overline{w}>1/3,$ natural inflation can be brought into agreement with current observational constraints. however, bringing unmodified natural inflation into the 68\% confidence region requires values of $t_{\mathrm{re}}$ below the scale of electroweak symmetry breaking. the addition of a shoes prior on the hubble constant $h_0$ only worsens the fit.",2021-06-03
"74","independent prototype propagation for zero-shot compositionality","frank ruis, gertjan burghouts, doina bucur","computer vision and pattern recognition","humans are good at compositional zero-shot reasoning; someone who has never seen a zebra before could nevertheless recognize one when we tell them it looks like a horse with black and white stripes. machine learning systems, on the other hand, usually leverage spurious correlations in the training data, and while such correlations can help recognize objects in context, they hurt generalization. to be able to deal with underspecified datasets while still leveraging contextual clues during classification, we propose protoprop, a novel prototype propagation graph method. first we learn prototypical representations of objects (e.g., zebra) that are conditionally independent w.r.t. their attribute labels (e.g., stripes) and vice versa. next we propagate the independent prototypes through a compositional graph, to learn compositional prototypes of novel attribute-object combinations that reflect the dependencies of the target distribution. the method does not rely on any external data, such as class hierarchy graphs or pretrained word embeddings. we evaluate our approach on ao-clever, a synthetic and strongly visual dataset with clean labels, and ut-zappos, a noisy real-world dataset of fine-grained shoe types. we show that in the generalized compositional zero-shot setting we outperform state-of-the-art results, and through ablations we show the importance of each part of the method and their contribution to the final results.",2021-06-01
"75","cosmological analysis using panstarrs data: hubble constant and direction dependence","rahul kumar thakur, meghendra singh, shashikant gupta, rahul nigam","cosmology and nongalactic astrophysics","hubble tension and the search for preferred direction are two crucial unresolved issues in modern cosmology. different measurements of the hubble constant provide significantly different values, and this is known as the hubble tension. the cosmological principle assumes that the universe is homogeneous and isotropic; however, deviations from the isotropy have often been observed. we apply the bayesian tools and the extreme value theory dependent statistic to address the above issues. these techniques have been applied to the panstarrs1 type ia supernovae data. our analysis for hubble constant does not reject the hubble tension. however, our value is smaller than that of the shoes program and agrees with the cchp value. extreme value theory-based analysis indicates that the data does not show direction dependence. as a byproduct of our technique, we show that the errors in the data are non-gaussian in nature.",2021-05-30
"76","diversifying multi-aspect search results using simpson's diversity index","jianghong zhou, eugene agichtein, surya kallumadi","information retrieval","in search and recommendation, diversifying the multi-aspect search results could help with reducing redundancy, and promoting results that might not be shown otherwise. many previous methods have been proposed for this task. however, previous methods do not explicitly consider the uniformity of the number of the items' classes, or evenness, which could degrade the search and recommendation quality. to address this problem, we introduce a novel method by adapting the simpson's diversity index from biology, which enables a more effective and efficient quadratic search result diversification algorithm. we also extend the method to balance the diversity between multiple aspects through weighted factors and further improve computational complexity by developing a fast approximation algorithm. we demonstrate the feasibility of the proposed method using the openly available kaggle shoes competition dataset. our experimental results show that our approach outperforms previous state of the art diversification methods, while reducing computational complexity.",2021-05-21
"77","random generators of markovian evolution: a quantum-classical transition by superdecoherence","w. tarnowski, i. yusipov, t. laptyeva, s. denisov, d. chruściński, k. życzkowski","statistical mechanics","continuous-time markovian evolution appears to be manifestly different in classical and quantum worlds. we consider ensembles of random generators of $n$-dimensional markovian evolution, quantum and classical ones, and evaluate their universal spectral properties. we then show how the two types of generators can be related by superdecoherence. in analogy with the mechanism of decoherence, which transforms a quantum state into a classical one, superdecoherence can be used to transform a lindblad operator (generator of quantum evolution) into a kolmogorov operator (generator of classical evolution). we inspect spectra of random lindblad operators undergoing superdecoherence and demonstrate that, in the limit of complete superdecoherence, the resulting operators exhibit spectral density typical to random kolmogorov operators. by gradually increasing strength of superdecoherence, we observe a sharp quantum-to-classical transition. furthermore, we define an inverse procedure of supercoherification that is a generalization of the scheme used to construct a quantum state out of a classical one. finally, we study microscopic correlation between neighbouring eigenvalues through the complex spacing ratios and observe the horse-shoe distribution, emblematic of the ginibre universality class, for both types of random generators. remarkably, it survives superdecoherence and supercoherification.",2021-05-05
"78","coarse-to-fine searching for efficient generative adversarial networks","jiahao wang, han shu, weihao xia, yujiu yang, yunhe wang","computer vision and pattern recognition","this paper studies the neural architecture search (nas) problem for developing efficient generator networks. compared with deep models for visual recognition tasks, generative adversarial network (gan) are usually designed to conduct various complex image generation. we first discover an intact search space of generator networks including three dimensionalities, i.e., path, operator, channel for fully excavating the network performance. to reduce the huge search cost, we explore a coarse-to-fine search strategy which divides the overall search process into three sub-optimization problems accordingly. in addition, a fair supernet training approach is utilized to ensure that all sub-networks can be updated fairly and stably. experiments results on benchmarks show that we can provide generator networks with better image quality and lower computational costs over the state-of-the-art methods. for example, with our method, it takes only about 8 gpu hours on the entire edges-to-shoes dataset to get a 2.56 mb model with a 24.13 fid score and 10 gpu hours on the entire urban100 dataset to get a 1.49 mb model with a 24.94 psnr score.",2021-04-19
"79","influence of advanced footwear technology on sub-2 hour marathon and other top running performances","andreu arderiu, raphaël de fondeville","applications","in 2019, eliud kipchoge ran a sub-two hour marathon wearing nike's alphafly shoes. despite being the fastest marathon time ever recorded, it wasn't officially recognized as race conditions were tightly controlled to maximize his success. besides, kipchoge's use of alphafly shoes was controversial, with some experts claiming that they might have provided an unfair competitive advantage. in this work, we assess the potential influence of advanced footwear technology and the likelihood of a sub-two hour marathon in official races, by studying the evolution of running top performances from 2001 to 2019 for long distances ranging from 10km to marathon. the analysis is performed using extreme value theory, a field of statistics dealing with analysis of rare events. we find a significant evidence of performance-enhancement effect with a 10% increase of the probability that a new world record for marathon-men discipline is set in 2021. however, results suggest that achieving a sub-two hour marathon in an official race in 2021 is still very unlikely, and exceeds 10% probability only by 2025.",2021-04-17
"80","look at my new blue force-sensing shoes!","yuanfeng han, ruixin li, gregory s. chirikjian","robotics","to function autonomously in the physical world, humanoid robots need high-fidelity sensing systems, especially for forces that cannot be easily modeled. modeling forces in robot feet is particularly challenging due to static indeterminacy, thereby requiring direct sensing. unfortunately, resolving forces in the feet of some smaller-sized humanoids is limited both by the quality of sensors and the current algorithms used to interpret the data. this paper presents light-weight, low-cost and open-source force-sensing shoes to improve force measurement for popular smaller-sized humanoid robots, and a method for calibrating the shoes. the shoes measure center of pressure (cop) and normal ground reaction force (grf). the calibration method enables each individual shoe to reach high measurement precision by applying known forces at different locations of the shoe and using a regularized least squares optimization to interpret sensor outputs. a nao robot is used as our experimental platform. experiments are conducted to compare the measurement performance between the shoes and the robot's factory-installed force-sensing resistors (fsrs), and to evaluate the calibration method over these two sensing modules. experimental results show that the shoes significantly improve cop and grf measurement precision compared to the robot's built-in fsrs. moreover, the developed calibration method improves the measurement performance for both our shoes and the built-in fsrs.",2021-04-14
"81","put chatbot into its interlocutor's shoes: new framework to learn chatbot responding with intention","hsuan su, jiun-hao jhan, fan-yun sun, saurav sahay, hung-yi lee","computation and language","most chatbot literature that focuses on improving the fluency and coherence of a chatbot, is dedicated to making chatbots more human-like. however, very little work delves into what really separates humans from chatbots -- humans intrinsically understand the effect their responses have on the interlocutor and often respond with an intention such as proposing an optimistic view to make the interlocutor feel better. this paper proposes an innovative framework to train chatbots to possess human-like intentions. our framework includes a guiding chatbot and an interlocutor model that plays the role of humans. the guiding chatbot is assigned an intention and learns to induce the interlocutor to reply with responses matching the intention, for example, long responses, joyful responses, responses with specific words, etc. we examined our framework using three experimental setups and evaluated the guiding chatbot with four different metrics to demonstrate flexibility and performance advantages. additionally, we performed trials with human interlocutors to substantiate the guiding chatbot's effectiveness in influencing the responses of humans to a certain extent. code will be made available to the public.",2021-03-30
"82","learning domain invariant representations for generalizable person re-identification","yi-fan zhang, zhang zhang, da li, zhen jia, liang wang, tieniu tan","computer vision and pattern recognition","generalizable person re-identification (reid) has attracted growing attention in recent computer vision community. in this work, we construct a structural causal model among identity labels, identity-specific factors (clothes/shoes color etc), and domain-specific factors (background, viewpoints etc). according to the causal analysis, we propose a novel domain invariant representation learning for generalizable person re-identification (dir-reid) framework. specifically, we first propose to disentangle the identity-specific and domain-specific feature spaces, based on which we propose an effective algorithmic implementation for backdoor adjustment, essentially serving as a causal intervention towards the scm. extensive experiments have been conducted, showing that dir-reid outperforms state-of-the-art methods on large-scale domain generalization reid benchmarks.",2021-03-29
"83","product semantics translation from brain activity via adversarial learning","pan wang, zhifeng gong, shuo wang, hao dong, jialu fan, ling li, peter childs, yike guo","multimedia","a small change of design semantics may affect a user's satisfaction with a product. to modify a design semantic of a given product from personalised brain activity via adversarial learning, in this work, we propose a deep generative transformation model to modify product semantics from the brain signal. we attempt to accomplish such synthesis: 1) synthesising the product image with new features corresponding to eeg signal; 2) maintaining the other image features that irrelevant to eeg signal. we leverage the idea of stargan and the model is designed to synthesise products with preferred design semantics (colour & shape) via adversarial learning from brain activity, and is applied with a case study to generate shoes with different design semantics from recorded eeg signals. to verify our proposed cognitive transformation model, a case study has been presented. the results work as a proof-of-concept that our framework has the potential to synthesis product semantic from brain activity.",2021-03-29
"84","foamfactor: hydrogel-foam composite with tunable stiffness and compressibility","humphrey yang, zeyu yan, danli luo, lining yao","human-computer interaction","this paper presents foamfactor, a novel material with tunable stiffness and compressibility between hydration states, and a tailored pipeline to design and fabricate artifacts consisting of it. this technique compounds hydrogel with open-cell foams via additive manufacturing to produce a water-responsive composite material. enabled by the large volumetric changes of hydrogel dispersions, the material is soft and compressible when dehydrated and becomes stiffer and rather incompressible when hydrated. leveraging this material property transition, we explore its design space in various aspects pertaining to the transition of hydration states, including multi-functional shoes, amphibious cars, mechanical transmission systems, and self-deploying robotic grippers.",2021-03-23
"85","estimating lower body kinematics using a lie group constrained extended kalman filter and reduced imu count","luke wicent sy, nigel h. lovell, stephen j. redmond","robotics","goal: this paper presents an algorithm for estimating pelvis, thigh, shank, and foot kinematics during walking using only two or three wearable inertial sensors. methods: the algorithm makes novel use of a lie-group-based extended kalman filter. the algorithm iterates through the prediction (kinematic equation), measurement (pelvis position pseudo-measurements, zero-velocity update, and flat-floor assumption), and constraint update (hinged knee and ankle joints, constant leg lengths). results: the inertial motion capture algorithm was extensively evaluated on two datasets showing its performance against two standard benchmark approaches in optical motion capture (i.e., plug-in gait (commonly used in gait analysis) and a kinematic fit (commonly used in animation, robotics, and musculoskeleton simulation)), giving insight into the similarity and differences between the said approaches used in different application areas. the overall mean body segment position (relative to mid-pelvis origin) and orientation error magnitude of our algorithm ($n=14$ participants) for free walking was $5.93 \pm 1.33$ cm and $13.43 \pm 1.89^\circ$ when using three imus placed on the feet and pelvis, and $6.35 \pm 1.20$ cm and $12.71 \pm 1.60^\circ$ when using only two imus placed on the feet. conclusion: the algorithm was able to track the joint angles in the sagittal plane for straight walking well, but requires improvement for unscripted movements (e.g., turning around, side steps), especially for dynamic movements or when considering clinical applications. significance: this work has brought us closer to comprehensive remote gait monitoring using imus on the shoes. the low computational cost also suggests that it can be used in real-time with gait assistive devices.",2021-03-21
"86","smplicit: topology-aware generative model for clothed people","enric corona, albert pumarola, guillem alenyà, gerard pons-moll, francesc moreno-noguer","computer vision and pattern recognition","in this paper we introduce smplicit, a novel generative model to jointly represent body pose, shape and clothing geometry. in contrast to existing learning-based approaches that require training specific models for each type of garment, smplicit can represent in a unified manner different garment topologies (e.g. from sleeveless tops to hoodies and to open jackets), while controlling other properties like the garment size or tightness/looseness. we show our model to be applicable to a large variety of garments including t-shirts, hoodies, jackets, shorts, pants, skirts, shoes and even hair. the representation flexibility of smplicit builds upon an implicit model conditioned with the smpl human body parameters and a learnable latent space which is semantically interpretable and aligned with the clothing attributes. the proposed model is fully differentiable, allowing for its use into larger end-to-end trainable systems. in the experimental section, we demonstrate smplicit can be readily used for fitting 3d scans and for 3d reconstruction in images of dressed people. in both cases we are able to go beyond state of the art, by retrieving complex garment geometries, handling situations with multiple clothing layers and providing a tool for easy outfit editing. to stimulate further research in this direction, we will make our code and model publicly available at this http url.",2021-03-11
"87","sales prediction model using classification decision tree approach for small medium enterprise based on indonesian e-commerce data","raden johannes, andry alamsyah","general economics","the growth of internet users in indonesia gives an impact on many aspects of daily life, including commerce. indonesian small-medium enterprises took this advantage of new media to derive their activity by the meaning of online commerce. until now, there is no known practical implementation of how to predict their sales and revenue using their historical transaction. in this paper, we build a sales prediction model on the indonesian footwear industry using real-life data crawled on tokopedia, one of the biggest e-commerce providers in indonesia. data mining is a discipline that can be used to gather information by processing the data. by using the method of classification in data mining, this research will describe patterns of the market and predict the potential of the region in the national market commodities. our approach is based on the classification decision tree. we managed to determine predicted the number of items sold by the viewers, price, and type of shoes.",2021-03-04
"88","robust android malware detection system against adversarial attacks using q-learning","hemant rathore, sanjay k. sahay, piyush nikam, mohit sewak","cryptography and security","the current state-of-the-art android malware detection systems are based on machine learning and deep learning models. despite having superior performance, these models are susceptible to adversarial attacks. therefore in this paper, we developed eight android malware detection models based on machine learning and deep neural network and investigated their robustness against adversarial attacks. for this purpose, we created new variants of malware using reinforcement learning, which will be misclassified as benign by the existing android malware detection models. we propose two novel attack strategies, namely single policy attack and multiple policy attack using reinforcement learning for white-box and grey-box scenario respectively. putting ourselves in the adversary's shoes, we designed adversarial attacks on the detection models with the goal of maximizing fooling rate, while making minimum modifications to the android application and ensuring that the app's functionality and behavior do not change. we achieved an average fooling rate of 44.21% and 53.20% across all the eight detection models with a maximum of five modifications using a single policy attack and multiple policy attack, respectively. the highest fooling rate of 86.09% with five changes was attained against the decision tree-based model using the multiple policy approach. finally, we propose an adversarial defense strategy that reduces the average fooling rate by threefold to 15.22% against a single policy attack, thereby increasing the robustness of the detection models i.e. the proposed model can effectively detect variants (metamorphic) of malware. the experimental analysis shows that our proposed android malware detection system using reinforcement learning is more robust against adversarial attacks.",2021-01-27
"89","cosmological constraints with the effective fluid approach for modified gravity","wilmar cardona, rubén arjona, alejandro estrada, savvas nesseris","cosmology and nongalactic astrophysics","cosmological constraints of modified gravity (mg) models are seldom carried out rigorously. first, even though general mg models evolve differently (i.e., background and perturbations) to the standard cosmological model, it is usual to assume a $\lambda$cdm background. this treatment is not correct and in the era of precision cosmology could induce undesired biases in cosmological parameters. second, neutrino mass is usually held fixed in the analyses which could obscure its relation to mg parameters. in a couple of previous papers we showed that by using the effective fluid approach we can accurately compute observables in fairly general mg models. an appealing advantage of our approach is that it allows a pretty easy implementation of this kinds of models in boltzmann solvers (i.e., less error--prone) while having a useful analytical description of the effective fluid to understand the underlying physics. this paper illustrates how an effective fluid approach can be used to carry out proper analyses of cosmological constraints in mg models. we investigated three mg models including the sum of neutrino masses as a varying parameter in our markov chain monte carlo analyses. two models (i.e., designer $f(r)$ [des-fr] and designer horndeski [hdes]) have a background matching $\lambda$cdm, while in a third model (i.e., hu $\&$ sawicki $f(r)$ model [hs]) the background differs from the standard model. in this way we estimate how relevant the background is when constraining mg parameters along with neutrinos' masses. we implement the models in the popular boltzmann solver class and use recent, available data (i.e., planck 2018, cmb lensing, bao, snia pantheon compilation, $h_0$ from shoes, and rsd gold-18 compilation) to compute tight cosmological constraints in the mg parameters that account for deviation from the $\lambda$cdm model. [abridged]",2020-12-09
"90","low-phase spectral reflectance and equivalent geometric albedo of meteorites powders","pierre beck, bernard schmitt, sandra potin, antoine pommerol, olivier brissaud","earth and planetary astrophysics","the reflectance of a particulate surface depends on the phase angle at which it is observed. this is true for laboratory measurements on powders of natural materials as well as remote observations of solar system surfaces. here, we measured the dependences of reflectance spectra with phase angles, of a suite of 72 meteorites in the 400-2600 nm range. the 10-30° phase angle range is investigated in order to study the contribution of shadow hiding opposition effect to the phase behavior. the behavior is then extrapolated to phase angle of 0° using a polynomial fit, in order to provide grounds for comparison across meteorite groups (enabling to remove the contribution of shadows to reflectance) as well as to provide equivalent albedo values that should be comparable to geometric albedo values derived for small bodies. we find a general behavior of increasing strength of the shoe with lower reflectance values (whether between samples or for a given samples with absorption features). this trend provides a first order way to correct any reflectance spectra of meteorite powders measured under standard conditions (g=30) from the contribution of shadows. the g=0 degre calculated reflectance and equivalent albedos are then compared to typical values of albedos for main-belt asteroids. this reveals that among carbonaceous chondrites only tagish lake group, ci, and cm chondrites have equivalent albedo compatible with c- and d-type asteroids. on the other hand equivalent albedo derived with co, cr and ck chondrites are compatible with l- and k-type asteroids. the equivalent albedo derived for ordinary chondrites is related to petrographic types, with low-grade petrographic type (type 3.6 and less) being generally darker that higher petrographic types. this works provides a framework for further understanding of the asteroids meteorite linkage when combining with colors and spectroscopy.",2020-09-22
"91","mobile apps for foot measurement: a scoping review","muhammad ashad kabir, sowmen rahman, mohammad mainul islam, sayed ahmed, craig laird","computers and society","with the proliferation of smart phone, a major growth in the use of apps related to the health category, specifically those concerned with foot health can be observed. although new, these apps are being used practically for scanning feet with an aim to providing accurate information about various properties of the human foot. with the availability of many 'foot scanning and measuring apps' in the app stores, the need for an evaluation system for such apps can be deemed necessary as little information regarding the evidence-based quality of these apps is available. to characterize the assessment of measurement techniques and essential software quality characteristics of mobile foot measuring apps, and determine their effectiveness for potential use as commercial professional tools for foot care health professionals such as pedorthists, podiatrists, orthotists and so on, to assist in measuring foot for custom shoes, and for individuals to enhance the awareness of foot health and hygiene and prevention of foot-related problems. an electronic search across android and ios app stores was conducted between july 2020 and august 2020 for apps related to foot measurement. mobile apps with stated goals of foot measurement and general foot health were identified and selected by three independent raters and discrepancies regarding the selected apps were resolved via a fourth rater. evaluation inferences found all apps failing to meet even half of the measurement-specific criteria required for the proper manufacturing of custom-made footwear. 23% (6/26) of apps were found to utilize either external scanners or advanced algorithms to reconstruct 3d models of user foot that can possibly be used for ordering custom-made footwear and medical casts for fitting irregular foot sizes and shapes. overall, current apps for foot measurement do not follow any specific guidelines for measurement purposes.",2020-09-09
"92","an imm-based decentralized cooperative localization with los and nlos uwb inter-agent ranging","jianan zhu, solmaz s. kia","signal processing","this paper investigates an infra-structure free global localization of a group of communicating mobile agents (e.g., first responders or exploring robots) via an ultra-wideband (uwb) inter-agent ranging aided dead-reckoning. we propose a loosely coupled cooperative localization algorithm that acts as an augmentation atop the local dead-reckoning system of each mobile agent. this augmentation becomes active only when an agent wants to process a relative measurement it has taken. the main contribution of this paper is addressing the challenges in the proper processing of the uwb range measurements in the framework of a loosely coupled cooperative localization. even though uwb offers a decimeter level accuracy in line-of-sight (los) ranging, its accuracy degrades significantly in non-line-of-sight (nlos) due to the significant unknown positive bias in the measurements. thus, the measurement models for the uwb los and nlos ranging conditions are different, and proper processing of nlos measurements requires a bias compensation measure. we also show that, in practice, the measurement modal discriminators determine the type of uwb range measurements should be probabilistic. to take into account the probabilistic nature of the nlos identifiers when processing uwb inter-agent ranging feedback, we employ an interacting multiple model (imm) estimator in our localization filter. we also propose a bias compensation method for nlos uwb measurements. the effectiveness of our cooperative localization is demonstrated via an experiment for a group of pedestrians who use uwb relative range measurements among themselves to improve their shoe-mounted ins geolocation.",2020-09-08
"93","sac: semantic attention composition for text-conditioned image retrieval","surgan jandial, pinkesh badjatiya, pranit chawla, ayush chopra, mausoom sarkar, balaji krishnamurthy","computer vision and pattern recognition","the ability to efficiently search for images is essential for improving the user experiences across various products. incorporating user feedback, via multi-modal inputs, to navigate visual search can help tailor retrieved results to specific user queries. we focus on the task of text-conditioned image retrieval that utilizes support text feedback alongside a reference image to retrieve images that concurrently satisfy constraints imposed by both inputs. the task is challenging since it requires learning composite image-text features by incorporating multiple cross-granular semantic edits from text feedback and then applying the same to visual features. to address this, we propose a novel framework sac which resolves the above in two major steps: ""where to see"" (semantic feature attention) and ""how to change"" (semantic feature modification). we systematically show how our architecture streamlines the generation of text-aware image features by removing the need for various modules required by other state-of-art techniques. we present extensive quantitative, qualitative analysis, and ablation studies, to show that our architecture sac outperforms existing techniques by achieving state-of-the-art performance on 3 benchmark datasets: fashioniq, shoes, and birds-to-words, while supporting natural language feedback of varying lengths.",2020-09-03
"94","a federated approach for fine-grained classification of fashion apparel","tejaswini mallavarapu, luke cranfill, junggab son, eun hye kim, reza m. parizi, john morris","computer vision and pattern recognition","as online retail services proliferate and are pervasive in modern lives, applications for classifying fashion apparel features from image data are becoming more indispensable. online retailers, from leading companies to start-ups, can leverage such applications in order to increase profit margin and enhance the consumer experience. many notable schemes have been proposed to classify fashion items, however, the majority of which focused upon classifying basic-level categories, such as t-shirts, pants, skirts, shoes, bags, and so forth. in contrast to most prior efforts, this paper aims to enable an in-depth classification of fashion item attributes within the same category. beginning with a single dress, we seek to classify the type of dress hem, the hem length, and the sleeve length. the proposed scheme is comprised of three major stages: (a) localization of a target item from an input image using semantic segmentation, (b) detection of human key points (e.g., point of shoulder) using a pre-trained cnn and a bounding box, and (c) three phases to classify the attributes using a combination of algorithmic approaches and deep neural networks. the experimental results demonstrate that the proposed scheme is highly effective, with all categories having average precision of above 93.02%, and outperforms existing convolutional neural networks (cnns)-based schemes.",2020-08-27
"95","fifteen years of progress at zero velocity: a review","johan wahlström, isaac skog","signal processing","fifteen years have passed since the publication of foxlin's seminal paper ""pedestrian tracking with shoe-mounted inertial sensors"". in addition to popularizing the zero-velocity update, foxlin also hinted that the optimal parameter tuning of the zero-velocity detector is dependent on, for example, the user's gait speed. as demonstrated by the recent influx of related studies, the question of how to properly design a robust zero-velocity detector is still an open research question. in this review, we first recount the history of foot-mounted inertial navigation and characterize the main sources of error, thereby motivating the need for a robust solution. following this, we systematically analyze current approaches to robust zero-velocity detection, while categorizing public code and data. the article concludes with a discussion on commercialization along with guidance for future research.",2020-08-20
"96","rareact: a video dataset of unusual interactions","antoine miech, jean-baptiste alayrac, ivan laptev, josef sivic, andrew zisserman","computer vision and pattern recognition","this paper introduces a manually annotated video dataset of unusual actions, namely rareact, including actions such as ""blend phone"", ""cut keyboard"" and ""microwave shoes"". rareact aims at evaluating the zero-shot and few-shot compositionality of action recognition models for unlikely compositions of common action verbs and object nouns. it contains 122 different actions which were obtained by combining verbs and nouns rarely co-occurring together in the large-scale textual corpus from howto100m, but that frequently appear separately. we provide benchmarks using a state-of-the-art howto100m pretrained video and text model and show that zero-shot and few-shot compositionality of actions remains a challenging and unsolved task.",2020-08-03
"97","progressive multi-stage feature mix for person re-identification","yan zhang, binyu he, li sun","computer vision and pattern recognition","image features from a small local region often give strong evidence in person re-identification task. however, cnn suffers from paying too much attention on the most salient local areas, thus ignoring other discriminative clues, e.g., hair, shoes or logos on clothes. %bdb proposes to randomly drop one block in a batch to enlarge the high response areas. although bdb has achieved remarkable results, there still room for improvement. in this work, we propose a progressive multi-stage feature mix network (pmm), which enables the model to find out the more precise and diverse features in a progressive manner. specifically, 1. to enforce the model to look for different clues in the image, we adopt a multi-stage classifier and expect that the model is able to focus on a complementary region in each stage. 2. we propose an attentive feature hard-mix (a-hard-mix) to replace the salient feature blocks by the negative example in the current batch, whose label is different from the current sample. 3. extensive experiments have been carried out on reid datasets such as the market-1501, dukemtmc-reid and cuhk03, showing that the proposed method can boost the re-identification performance significantly.",2020-07-17
"98","a causal view of compositional zero-shot recognition","yuval atzmon, felix kreuk, uri shalit, gal chechik","computer vision and pattern recognition","people easily recognize new visual categories that are new combinations of known components. this compositional generalization capacity is critical for learning in real-world domains like vision and language because the long tail of new combinations dominates the distribution. unfortunately, learning systems struggle with compositional generalization because they often build on features that are correlated with class labels even if they are not ""essential"" for the class. this leads to consistent misclassification of samples from a new distribution, like new combinations of known components. here we describe an approach for compositional generalization that builds on causal ideas. first, we describe compositional zero-shot learning from a causal perspective, and propose to view zero-shot inference as finding ""which intervention caused the image?"". second, we present a causal-inspired embedding model that learns disentangled representations of elementary components of visual objects from correlated (confounded) training data. we evaluate this approach on two datasets for predicting new combinations of attribute-object pairs: a well-controlled synthesized images dataset and a real-world dataset which consists of fine-grained types of shoes. we show improvements compared to strong baselines.",2020-06-25
"99","early mass varying neutrino dark energy: nugget formation and hubble anomaly","antareep gogoi, ravi kumar sharma, prolay chanda, subinoy das","cosmology and nongalactic astrophysics","we present a novel scenario, in which light ($\sim$ few \rm{ev}) dark fermions (sterile neutrinos) interact with a scalar field like in mass varying neutrino dark energy theories. as the $\rm{ev}$ sterile states naturally become non-relativistic before the matter radiation equality (mre), we show that the neutrino-scalar fluid develops strong perturbative instability followed by the formation of neutrino-nuggets and the early dark energy behaviour disappears around mre. the stability of the nugget is achieved when the fermi pressure balances the attractive scalar force and we numerically find the mass and radius of heavy cold nuggets by solving for the static configuration for the scalar field. we find that for the case when dm nugget density is sub-dominant and most of the early de energy goes into scalar field dynamics, it can in principle relax the hubble anomaly. especially when a kinetic energy dominated phase appears after the phase transition, the de density dilutes faster than radiation and satisfy the requirements for solving $h_0$ anomaly. in our scenario, unlike in originally proposed early dark energy theory, the dark energy density is controlled by ($\rm{ev}$) neutrino mass and it does not require a fine tuned ede scale. we perform a mcmc analysis and confront our model with planck + shoes and bao data and find an evidence for non-zero neutrino-scalar ede density during mre. our analysis shows that this model is in agreement of nearly 1.3$\sigma$ with shoes measurement which is $h_0 = 74.03 \pm 1.42$ km/s/mpc.",2020-05-25
